,Unnamed: 0,Description,Category,Predictions,Verify
15,982,cannot while bluecoat proxy hello please advised issue running while connected tm investigating suggested follow instructions outlined attached document seeing how these please let users install certificate kind regards specialist,Network,Database,FALSE
16,1369,maternity leave form hi bile please assist completion attached maternity form return please also add annual leave since she absent her maternity leave active starting please note she returned lap top card handed over colleague possible leave assets prior thanks officer,User Maintenance,User Maintenance,TRUE
17,1598,wednesday pm card hello si ca card assignat care care si alt card care available va best regards technician,User Maintenance,User Maintenance,TRUE
18,215,great hi please mailbox thank,Application,Application,TRUE
19,367,help hi members has had extend his annual leave include today tomorrow please update his thursday friday indicate annual leave submit his accordingly talked issue she fully thanks help cheers editorial consultant,Application,Database,FALSE
20,2267,original message sent thursday february event notification data event ground floor main door open source cafe details details details,Security,Security,TRUE
21,2064,sent saturday july lost access card have lost access card was told report immediately intern,Security,Security,TRUE
22,2126,sent wednesday re incident importance high hi please consider incident we have for computers access client networks can we get sorted out asap today please thanks sent tuesday hello until recently only were added were allowed into was seen by client reassuring feature setup please help understand if changed purpose recently why obviously need have secure access resources entails controlled set devices accessing client resources weakened posture please treat with proper attention priority thank you,Security,Security,TRUE
23,1404,hello attaching transfer forms he move bench mobile october he keep his equipment he also he change thank regards administrator,User Maintenance,User Maintenance,TRUE
24,2134,sent wednesday hi can you please help thank you sent wednesday hello spatial la si se cartel need help please manager en next holiday th th,Security,Database,FALSE
25,992,re has assigned queue hello please two more tickets queue thank technician,Network,Application,FALSE
26,2727,sent thursday november laptop hinges failing hi please log into queue thanks,Database,Database,TRUE
27,879,extension cord good morning please advised due relocation extension cord provided by regards senior developer,Database,Network,FALSE
28,1076,instance needed hi existing user user two instances called same configuration please let more inputs needed side thank agile,Network,Application,FALSE
29,343,obsolete permissions mailbox hello please kind log under name rows red attached spreadsheet permissions red specified mailbox further details required please liaise he needs kept updated about progress thank best regards leader friday permissions clean si tine la cum merge re permissions si merci fain kind regards thursday pm permissions discussed red needs removal change thanks,Application,Network,FALSE
30,1047,re switch problem hi copied please ensure switches labelled help networks thanks switch problem hi please book top switch rack room seems had call dead phone meeting room had patch spare socket second switch down switches labelled find name serial number thanks,Network,Network,TRUE
31,1082,hello working application developing deployed port require application please help acquiring thank,Network,Network,TRUE
32,2648,sent friday november lose connection whit hi few ours ago lose connection whit confluence can please help thanks,Network,Database,FALSE
33,978,information active directory hello please update information related active directory location job title job grade etc kind information give her rights platform thank design lead,Network,Network,TRUE
34,1928,door th floor hello guys we experiencing issue with door get very often locked although there were several interventions past week problem still fixed only solution hand if block remains open with adhesive tape but case we expose entire area area could be please looked into with high priority thank you for understanding manager,Security,Security,TRUE
35,194,hi please create thank head,Application,Application,TRUE
36,209,hi please assist please handle possible thanks,Application,Application,TRUE
37,2647,sent friday november server work hi we asking for your help for booting machine start currently we trying restart last one but after started immediately stopped we would like know what process restart machine have up because currently we doing configurations server we need restart continually you can find similar request ticket server work thanks regards senior developer,Network,Network,TRUE
38,265,dear please create bellow assignment groups well lists queue owner add snow assignment well thanks kind regards,Application,Application,TRUE
39,588,december roll offs hi kind help mentioned groups mentioned ct comments column thank officer re december roll offs hi please find comments december roll offs groups enumerated ct comments column touch help name left ct comments nap write nap nap nap final interviews dispatch write write nap write nap discipline leads nap write write write nap think these also related release write write nap pm nap nap nap nap nap nap leaver disabled groups leaver disabled groups active groups active groups leaver disabled groups regards wednesday pm re december roll offs hi these left december colleague mentioned kindly include mailbox future requests report separately name left thank officer december roll offs hi please help rolled off accounts december memberships related ad groups has removed kind regards,Application,Application,TRUE
40,1307,cards va ca si damaged name ca si returned si,User Maintenance,User Maintenance,TRUE
41,844,hi has confirmed friday december remaining holiday his thursday uses his own work please schedule his cleaned preferably thursday thanks,Database,User Maintenance,FALSE
42,1202,badge removed dear please badge since he working anymore best regards,User Maintenance,Application,FALSE
43,2419,sent thursday button door importance high good afternoon button door working we can open door come or out can be looked into possible please kind regards receptionist,Network,Security,FALSE
44,1643,wednesday march pm update visitor cards hello update si activate la la si,User Maintenance,User Maintenance,TRUE
45,853,potential hi appears affected by key logger affected models please let models order affected take measures patch vulnerability thanks,Database,Database,TRUE
46,409,wednesday pm re thank mainly mainly manage give her appropriate roles also take responsibility notifying both she leaves think please let notify thank much again re hi make ad hoc user sorry process form fill over per please create ad user per she instead consultant working advisors she needs suggest her user name provide underscore highlight user book avoid giving her membership ad groups also needs her which ad groups uses uses guess add ask required finally expire months where based she comes also assume ask directly give once created appropriate role roles finally responsible notifying required kind regards information compliance officer extension re hi also give avoid giving generic user profile where got please thanks re thanks both appreciate concerns raised facilitate possible right assessment she needs easier way course give little context working critical part which sharing sensitive confidential etc signed also sign want thanks again wrote realistically preference too has expressed wish directory which needs join calls he downloaded client software via interface he make call having log expect wants call possibly meetings which calendar which needs easier then think employer by looks possible book based her ask federate watch kind regards re hello record dates way easily tracking leaves disable her working third party supplier normally add suppose needed count part mention has working while contractor think he has communicates his personal make calls understand anybody download terms book has format relatively easy work out how easy connect think same area think explored setting her regards re hi figure out way joining contractor example treater her arrival other require these background checks these works supplier letter confirmation employer performed background checks checks performed agreement comply policy information classification policy handling guidelines these by she agrees comply assume plan via browser her connected guest wireless won giving her nor allowing her connect her own give wireless change every guest gives she connect browser seen thread wants provide consultant professional supplier add kind regards hi advice best regards analyst ext history reference history additional comments visible update task task assignment assignee owner closed complete work notes description hi possible give working number months number related possible thanks hi possible join book more ref msg,Application,Network,FALSE
47,831,forced upgrade hello forced upgrade ran shows installing again please stop upgrade done thanks senior,Database,Database,TRUE
48,2233,sent thursday march unauthorized use emergency access card landlord hi please log for unauthorized use emergency access card by landlord assign thanks,Security,Security,TRUE
49,757,purchase po dear purchased type hub please log allocation kind regards administrator,Database,Database,TRUE
50,412,dear attaching transfer form he changed discipline job title st other job details remain same thank regards administrator,Application,Application,TRUE
51,2455,sent thursday march re poll log full status down hello sd please be informed cleared old logs could you please raise call check debugging level above server two days row we encountered same issue fills partition root log size used avail use mounted mapper root boot mapper mapper log mapper flow best regards technical consultant en please consider environment you really need print,Network,Network,TRUE
52,2098,sent re possible attack client hi have asked our physically disconnect routers sorry for inconvenience we haven blocked your setup completely best date tuesday re possible attack client have talked was configured stopped doing anything physically remove connection our router sent tuesday re possible attack client yes if already done though should already have configured allow outbound connections only how connecting into via remote access type connection please ask urgently break connection belgrade if necessary walk into server room switch off routers were installed by external belgrade or unplug cables kind regards sent re possible attack client we need something shut down into belgrade until we know more sent re possible attack client massive outage their down for their brands except for main down our guys maidenhead say being sent sent re possible attack client importance high hi have completely disconnected removed we infection started laptop then spread across there unlikely much more likely have reached themselves but we need be happened also slightly what does tell about connections allowed through would expect any connections be allowed through direction fact really want understand how have become infected with added for his awareness too regards sent possible attack client importance high please below issue we encountering with client sent tuesday possible attack client importance high hi if might affect our but one our clients seems be under attack some received our clients were connected through already down we have confirmed client side encountering serious issues we disconnected still alive please suggest if any additional actions needs be taken best regards test lead mob en your zone,Security,Network,FALSE
53,613,purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,Database,Database,TRUE
54,2559,sent wednesday status test server train hi please check again status server train get following error message when connecting thank you,Network,Network,TRUE
55,2910,sent wednesday october extend partition hi partition lap top full could someone extend thank you br senior developer,Database,Database,TRUE
56,1817,card leaver la va ca defect,Security,User Maintenance,FALSE
57,820,cable hi please log providing cable yesterday thank programme officer,Database,Network,FALSE
58,2927,sent monday october laptop hi received old laptop working very well temporary need make request for him receive proper hardware thank head applications mob,Database,Database,TRUE
59,857,purchase po dear purchased requested by keyboard wired please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Database,Database,TRUE
60,77,reminder leaver hi please assign best regards analyst friday pm re reminder leaver hi please kind leaver form further help needed let thank friday reminder leaver hi received believe please advise thanks friday reminder leaver dear please submit leaver form found messages requests note mailbox receive messages,Application,Application,TRUE
61,38,storage hello please storage order setup environment regards engineer mob,Application,Network,FALSE
62,443,dear supplier enter needs program around resolve issue slips please assign colleague thank kind regards country,Application,Application,TRUE
63,147,re please provide also thanks,Application,Network,FALSE
64,1254,floor hi please floor he joining thank officer,User Maintenance,User Maintenance,TRUE
65,1977,re important access card issues hello again la et card ca card sa fie si sa ii dam manager,Security,Security,TRUE
66,2007,error hello please be aware had recovery error fixed thank you have great accounts payable,Security,Application,FALSE
67,2921,sent tuesday october problem with notebook hi have installed yesterday version today after restarting pc got error attached please help sent galaxy registered under number whose registered old broad street kingdom does provide any clients each subsidiaries separate entity,Database,Database,TRUE
68,1418,cards tomorrow joiners dear colleagues please kindly assigning cards colleagues starting tomorrow did received regarding matter available cards these ones thank best regards lost lost,User Maintenance,Security,FALSE
69,1277,si si va,User Maintenance,User Maintenance,TRUE
70,1351,sensors electronics how got design lead ext wednesday october sensors electronics dear mr pleasure invite sensors electronics munich germany agenda attached event aims bringing strategic leaders technical experts under single roof share ideas insights advances please let interested attending recommend experts benefit topics include willing leverage speaking opportunities next thank beforehand feedback kind regards head phone information contained confidential intended individual entity named privileged unauthorized review disclosure prohibited intended recipient please immediately stating received error then please delete thank link,User Maintenance,Application,FALSE
71,927,re updated instance storage size increase hello please advise additional action done part restarting instance blocks available mounted run run user thanks design lead,Network,Network,TRUE
72,2189,sent tuesday lost badge hello want inform you have lost id badge looked for everywhere find sorry about possible have one thank you for your help developer,Security,Security,TRUE
73,2790,sent monday october working san importance high hi could you please send someone configure san signed conference room therefore one cannot place calls we re using every morning when we re doing daily with client pretty urgent thanks master,Database,Database,TRUE
74,1343,maternity leaver form hello please help by filling out maternity leaver form thank ext,User Maintenance,Security,FALSE
75,1901,tuesday july secure area tower rd floor importance high hi please restricted areas tower rd floor provided joined appreciate done by today july thank best regards mob,Security,User Maintenance,FALSE
76,427,confluence billing hello please billing confluence joining contract billing please link billing thank programme portfolio officer,Application,Application,TRUE
77,2182,sent friday lost badge hello lost badge noticed morning could you please assign another card for send thank you best regards tester en,Security,Security,TRUE
78,1621,friday pm create restrict floor hi teams implemented via change next until then created groups themselves added members aside leavers which listed document mentioned find two active users please find out cards around friday create restrict floor hello please advised has logged assigned queue thank much kind regards analyst ext hub thursday pm re members hi by restrict floor dedicated teams please personnel attached spreadsheet both sheets create groups users physical control which then allocated permitted groups floor points main doors side doors near stairwell doors required control populated accurately particular reason restriction implemented possible personnel has changed since spreadsheet please notify going forward notify members needing floor leavers roles changes captured via processes kind regards,User Maintenance,Security,FALSE
79,2844,sent wednesday october battery issues dear battery lasts only for maximum hour usually have longer meetings have take charger with everywhere could you please help thanks tester,Database,Database,TRUE
80,2000,kernel vulnerability hi could you please raise ticket request check whether recently disclose kernel vulnerability kernel could present operating inside especially if production or managed clients particular others kind regards information compliance officer extension or,Security,Network,FALSE
81,2894,sent october defender endpoint turned off ca defender si endpoint turned off si si sa,Database,Database,TRUE
82,1731,wednesday december pm re floor hello require revert changes thanks senior developer wednesday december floor hello please advised granted area guest card please inform require guest card revert changes kind regards analyst ext hub wednesday december floor hello today had forgot card had received guest card today floor area please activate card guest order area thanks senior developer,User Maintenance,User Maintenance,TRUE
83,1604,thursday pm cards usage hi please assign order cards defined control which were more than days cards find out these cards were thanks,User Maintenance,User Maintenance,TRUE
84,2692,sent tuesday cannot connect using cable connection hello starting morning cannot use cable connection connect can you please assist thanks senior developer,Network,Network,TRUE
85,424,room booking functionality hi please help room booking function sometimes location highlighted red update automatically invite different room calendar invitation right room invited room feature right thanks,Application,User Maintenance,FALSE
86,709,po dear purchased please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Database,Database,TRUE
87,2883,sent wednesday october important sent wednesday october important en workstation issue unresponsive importance high hi cannot use station properly after start after hour usage becomes unresponsive till unplug wait times issues started after pc since was added have os notice cannot update policies have access domain controller workstation also test environment need fix problem asap regards developer importance high hi cannot use station properly after start after hour usage becomes unresponsive till unplug wait times issues started after pc since was added have os notice cannot update policies have access domain controller workstation also test environment need fix problem asap regards developer,Database,Database,TRUE
88,780,purchase po has assigned hello kind log separate tickets assigning mobile devices employees thank engineer ext december purchase po has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location generic location summary purchase po additional comments requirements purchase po dear purchased galaxy link mobile please log allocation kind regards administrator assign reference assignment summary purchase po location generic location attachments image please link kind regards please ref msg,Database,Database,TRUE
89,2258,mr declared lost visitor card was lent him,Security,User Maintenance,FALSE
90,2735,drive out space with only left making laptop be slow issue solved by,Database,Database,TRUE
91,1505,thursday july pm re visitor cards hello made changes good afternoon tower rom confidentiality notice content communication represents confidential proprietary information please consider environment printing thursday july visitor cards hello kindly deactivate visitor cards visitor visitor visitor visitor also activate card visitor visitor visitor visitor visitor thank help,User Maintenance,User Maintenance,TRUE
92,593,february hello please find attached hire thank regards administrator,Application,Application,TRUE
93,653,re transfer hi please find form filled missed please let cheers date thursday december transfer hi please fill transfer form thanks kind regards,Database,User Maintenance,FALSE
94,806,purchase po dear purchased galaxy link mobile please log allocation kind regards administrator,Database,Network,FALSE
95,1253,leaver nostrum parasite va ca si damaged,User Maintenance,User Maintenance,TRUE
96,1429,hello please floor thank,User Maintenance,User Maintenance,TRUE
97,1063,req discovery report hello please attached possible side provide report networks tried reconnoiter perimeter networks thanks best regards senior engineer ext zone,Network,Network,TRUE
98,138,hi added two his role unfortunately please looking forward thanks officer,Application,Application,TRUE
99,249,backups restore exercise hi restore latest backups files program files database backup important backups copy instances by myself validate scenario restoring existing backups hesitate questions regards senior engineer cell voice,Application,Network,FALSE
100,336,feedback owners leader change hello please advised has replaced leader consequently please ensure low satisfaction score triggered complaint tickets automatically assigned let require further information side best regards care,Application,Application,TRUE
101,2416,sent friday for wireless guest correct hello please log call fix range used for wireless guest sh run building configuration current configuration bytes interface description wireless guest address agreed range range above overlaps with range agreed for thanks,Network,Network,TRUE
102,484,rights hi please provide rights regards,Application,Application,TRUE
103,1445,room today good afternoon please ask log room today engineers mount pump ceiling wire units has agreed kindest regards receptionist,User Maintenance,Database,FALSE
104,2288,sent monday server server room hello please open assign for guidance what needs be done further while working we found workstation sitting under table was acting server en role installed port where workstation configured access rogue might be able have access if puts his mind if was validated by past might be redundant but if believe we should either decommission workstation move other locations hyper hosts server room etc or move physical workstation server room best regards technical consultant information confidential,Security,Network,FALSE
105,2561,sent monday status test server train hi please check status server train get following error message when connecting thank you tester,Network,Database,FALSE
106,507,confluence hello guys confluence help kind information thank design lead,Application,Application,TRUE
107,2491,sent monday february re po importance high hi adaptor cable below was ordered th got week later one your colleagues came tried install was physical fault with plug floor does work was told you report get provider fix did happen however almost months later fixed cannot connect wired calls really suffering quality please help best head agile transformation sent monday po hi teams extension cable for please create installation ticket for could you please perform goods receipt by exactly following attached screen capture thank you administrator phone,Network,Database,FALSE
108,1053,cluster down issue analysis dear please log assign he investigated error about cluster down thank technical leader tuesday pm issue hi file share witness resource file share witness failed arbitrate file share please ensure file share exists accessible by cluster cluster resource file share witness type file share witness clustered role cluster failed based failure policies resource role cluster bring resource node move node cluster then restart resource cluster cluster shutting down because quorum lost due loss nodes cluster witness disk run validate configuration wizard configuration condition persists hardware software errors related adapter also failures other components which node connected hubs switches bridges cluster has determined node latest copy cluster configuration therefore cluster has prevented itself starting node starting cluster nodes cluster cluster started other nodes latest copy cluster configuration node subsequently join started cluster successfully kind regards senior engineer,Network,Application,FALSE
109,2464,original message sent tuesday march alert flood open alarm end date device name device flood open alarm end nothing off temperature humidity rh mini for more information try,Network,Network,TRUE
110,1303,join hello please log bellow assign queue thanks engineer friday november join hello va la si se va,User Maintenance,User Maintenance,TRUE
111,747,restrictions,Database,Application,FALSE
112,293,control cards dear plan transition colleagues over kindly help badge ids excel spreadsheet fine contains colleagues name allocated card number re bit short accommodate by thanks kind regards officer,Application,User Maintenance,FALSE
113,987,backup polls hello please provide number best regards senior engineer backup polls hello please separate backup virtual machines assign appropriate best regards senior engineer backup polls has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location tower summary backup polls additional comments requirements backup polls dear raised decommission please appropriate make backup virtual machines required delete polls regards engineer assign monitoring reference assignment summary backup polls location tower attachments image please link kind regards ref msg,Network,Network,TRUE
114,438,re hello please fill date thank administration officer,Application,Application,TRUE
115,2732,sent wednesday november issues while editing documents templates dear have some issues while trying word or excel documents get blocked takes minutes until get restored haven had issues like these before could you please assist with best officer ext,Database,Database,TRUE
116,1242,care internship cum se ne va care analyst ext friday december pm assistants care internship cum se ne va care analyst ext friday december pm assistants care internship cum se ne va care analyst ext,User Maintenance,User Maintenance,TRUE
117,1755,friday december pm please hi please secure area please mentor booking rd floor tower regards officer,User Maintenance,User Maintenance,TRUE
118,2956,sent friday lack disk space drive hi guys had problem with lack disk space drive laptop already helped solve thanks test consultant,Database,Database,TRUE
119,621,cable please hello cable connect monitor please thank best,Database,Database,TRUE
120,1763,tuesday december pm out hi guys please share details out thanks lead,User Maintenance,Application,FALSE
121,1465,tuesday pm importance high si blvd rd floor,User Maintenance,User Maintenance,TRUE
122,208,re hi also myself thanks head tuesday pm dear created folder named analysis path analysis please folder folder entire parent folder let thank,Application,Network,FALSE
123,1654,march pm reactivate card hello awesome please reactivate visitor card colleague found thank lovely,User Maintenance,User Maintenance,TRUE
124,957,please change port hello please migrate port which adapter plugged physical thanks senior developer,Network,Network,TRUE
125,2887,sent tuesday october re access hi could you please help when try installing receive following error also when trying enable framework turn features or off get error thank you sent monday october access hi please be advised you can finds installation here tools should you need further help or questions please let know analyst ext hub sent october access hi please could you help with access integration server tool installation thank you,Database,Database,TRUE
126,326,assignment groups adjustment has assigned dear please thank friday pm assignment groups adjustment has assigned pm pm pm ii pm give minutes done,Application,User Maintenance,FALSE
127,1335,card hello please note received starter started couple days ago had hardware allocation closed please investigate card thank engineer ext,User Maintenance,User Maintenance,TRUE
128,2615,sent monday november problem hi we having problems with environment for machine we could deploy application into then we have restarted with command restart however working yet we have had problems environment indications fix them were run application opt apache bin inside run feature install wrapper feature install wrapper quit ctrl configure with opt apache bin etc add add finally run start check aux we would like ask you for restart completely environment could share with steps you have done similar environment thanks for your help regards senior developer,Network,Network,TRUE
129,1000,thursday pm run script prod importance high dear please per assign thank thursday pm run script prod importance high hello please find attached scripts needed database test database pretty urgent back needed production database too let thanks help,Network,Network,TRUE
130,2059,sent wednesday re request external vulnerability report for month year assigned hi can you please raise ticket for found vulnerability by assign please below required details please let know ticket number well medium win information leak via crafted requests server medium thank you best regards engineer managed,Security,Network,FALSE
131,1940,card va sa tot card si sa,Security,Security,TRUE
132,2890,sent monday october re update laptop issue hi please reopen thanks you sent october update laptop issue hello please be advised below feedback please advise if ticket should be reopened or one should be logged instead thank you analyst community builder ext hub sent thursday october re update laptop issue hello happening again solved yet please got few minutes ago could you please help sent thursday october update laptop issue dear further our recent communication we believe your below query resolved if you with resolution there need for response however please let know if we can be any further assistance matter reference number summary laptop issue resolver description sent monday october re en hi please log below incident into our queue thank you sent october re en guys happened again under error can you investigate th floor next captain thank you administrator phone sent friday en laptop en bad pool error ca si sa ii sa document la care thank you administrator phone kind regards ext hub ref msg,Database,Database,TRUE
133,1344,control floors hello kindly ask allow floors together cleaning crews best regards,User Maintenance,User Maintenance,TRUE
134,2356,sent saturday november event notification data event ground floor front left door open source cafe details details details,Security,Security,TRUE
135,347,please rise next tickets hello please rise next tickets assign summary change adjustments kind regards engineer,Application,Application,TRUE
136,145,issue hello please help issue accidentally changes personal information section please roll back changes thank best regards tester,Application,Application,TRUE
137,1970,re interns bulk starter form access card hey va ii card damaged manager,Security,Security,TRUE
138,169,hi please regards developer,Application,Application,TRUE
139,1057,create azure hello virtual machine created azure subscription test please assign execution specifications type bit drive single drive processor intel cpu cores needed tools professional rights code tried make via after filling got error cart empty thank lead,Network,Application,FALSE
140,1650,friday march pm card req hi please issue card third party profile thank,User Maintenance,User Maintenance,TRUE
141,2445,sent tuesday march problems hello we re having some issues with sending using postfix after brief investigation have found commands like or dig work result timeout problem might be server machine can we please get some help regarding problem thank you senior developer,Network,Network,TRUE
142,411,delete somebody hi kindly ask billing billing thanks best regards,Application,Application,TRUE
143,2704,sent november problem with phones hi there problem with phones thames dialling out please can be looked into please thanks kind regards receptionist,Database,Network,FALSE
144,744,re po hello left type adapters around pm today devices leave advised by please regarding queue kind regards engineer ext,Database,Database,TRUE
145,693,re roll out hi thanks coming back checked download link pkg file which surface running provided window install please thanks holidays,Database,Database,TRUE
146,626,hi available next period provide told call thank design lead,Database,Application,FALSE
147,2588,sent friday december november critical high results hi can you please raise tickets relevant teams guess investigate hopefully fix vulnerabilities identified assets attached results vulnerability scans performed there recently appreciate apache maybe other product reported vulnerabilities might be false positives due old version being reports for package editions into later patches have back ported kind regards information compliance officer extension or,Network,Network,TRUE
148,1081,review severs by dear please initiate needs these add inventory hyper win win win test thanks senior consultant,Network,Network,TRUE
149,2342,sent monday december access card lost found hi think have lost access card was told have speak with you guys remedy thanks,Security,Security,TRUE
150,872,re purchase po hello guys received wrong model supplier instead please cancel possible erase right model deliver today please prepare picked today thank kind regards administrator friday december pm re purchase po hi thanks expected receive product also move setup existing run parallel both machines thanks friday december pm purchase po dear purchased please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,Database,Database,TRUE
151,503,starter form completed form tuesday re starter form hi please find attached form thanks starter form hi also join st february please assist fill attached form mobile hardware thank,Application,Application,TRUE
152,111,re client dear please his updated credentials thank,Application,Application,TRUE
153,2361,sent tuesday november external pen test report infrastructure hi can you ask review attached report arising form external infrastructure pen test conducted recently by plan fix most high vulnerabilities noted report these section key findings with nest steps proposed most critical findings related two addresses only belgrade these two expose critical severity vulnerabilities vulnerability could allow remote code execution dos possible remote code execution possible put resolving these please following four addresses appear be running server these might be known win servers have already decided be upgraded but be decommissioned part old can someone try confirm detections possible outdated web server software apache tomcat etc well be false positives for reasons noted report can someone try check these report back findings please care about low severity findings stage kind regards information compliance officer,Security,Security,TRUE
154,1781,friday november pm please restrict area hi please restrict secure area thank officer,User Maintenance,User Maintenance,TRUE
155,1017,si hello please kind assist information requested kindest regards leader tuesday si care si accountant street center,Network,Application,FALSE
156,1370,hi please approve floor thank,User Maintenance,User Maintenance,TRUE
157,1535,pm re activate visitor cards hello activated cards card named visitor has please want activate number thanks tower rom confidentiality notice content communication represents confidential proprietary information please consider environment printing activate visitor cards hello coming follow please activate cards because possible visitor card thank much,User Maintenance,User Maintenance,TRUE
158,652,video broadcasting agile days hello dear video broadcast agile days please details please let person accountable test broadcasting event both tower kind regards discipline lead tuesday pm agile days booking rooms hello booking la meeting rooms agile days care loc meeting rooms casa opening ceremony tower opening ceremony closing ceremony cafe booking la booking parallel video broadcasting si discipline lead,Database,Application,FALSE
159,2601,stash we we can access stash jersey only through connecting through was case past when we would have access by being weeks ago there was update made nj changed server we can with our domain password but after update we could access stash only through we talked could access stash but could made some changes until yesterday we could access stash directly being today problem seems be back talking confirmed stash accessible neither or offices being we can access through but we would like have past functionality back when we would access directly needing thanks,Network,Network,TRUE
160,2279,sent friday february re access card issue hello thank you for swift believe should be addressed separately since resolved but issue persists please log separate ticket investigate we would be able help out thank you best regards leader ext sent friday february re access card issue hello believe there was request raised few days ago by main issue was had issue verifying access provided managed visit tower mondays week managed visit today can you please refer case confirmation verification phase previous request you think we need open another ticket or log incident for matter kind regards application developer sent friday february access card issue hello please be kind log ticket investigate issue reported by case ticket logged for well already please issues seems be lack access rd th floors tower she used work th floor for week december therefore her access should have worked fine order have better being able help you out due please be kind use either or report issues rather than contacting someone our individually help save make your problem handled efficiently thank you best regards leader ext,Security,Security,TRUE
161,1872,february re received after hi thanks letting about delete please add blacklist regards february received after hi guys got friday after please take notice best regards senior developer,Security,Application,FALSE
162,514,backups staging environment hello please log database backup core jobs databases wednesday please done rollback needed anyone by thanks best regards application engineer,Application,Network,FALSE
163,2659,sent thursday october networks via hi guys could you please advise why nor working via thank you senior consultant,Network,Network,TRUE
164,873,upgrade hi ask lap top due upgrading lap top problem solved thanks regards officer,Database,Database,TRUE
165,1693,wednesday february pm re leave hi attached form completed regards thursday february pm leave hello considering started his leave his accounts suspended based attached form kindly ask fill special agreement regarding his accesses until he returns please let please note he active thank administration officer,User Maintenance,User Maintenance,TRUE
166,816,socket adapter hi borrowed socket adapter charger please log thank officer,Database,Database,TRUE
167,1686,notes february pm starter form hello please help by filling out starter form thank ext,User Maintenance,User Maintenance,TRUE
168,1100,re poll status down has assigned hi order fix issue required increase disc increasing disc please going close since increase issue fixed concerns please let best regards,Network,Database,FALSE
169,62,upload modify hi give write accumulations order add upload modify documentation please thank planned annual leave,Application,Application,TRUE
170,2025,va sa cartel la si sa sa manager,Security,Security,TRUE
171,2400,sent thursday october lost access card hello have lost access card yesterday around clock please block access card thank you lead,Security,Security,TRUE
172,612,hello two visual studio ultimate two colleagues two colleagues received ad receive also mentions station station please let further details thank,Database,Application,FALSE
173,1616,pm personal cur bun cur la program conform program,User Maintenance,User Maintenance,TRUE
174,2085,sent monday july lost card importance high va sa si sa ca si lost visitor card manager,Security,Security,TRUE
